"Cluster","Gene"
"HSA-MIR-638","SOX2"
"HSA-MIR-638","PLD1"
"HSA-MIR-639","CDKN1A"
"HSA-MIR-644A","GAPDH"
"HSA-MIR-654-3P","CDKN1A"
"HSA-MIR-655-3P","PTTG1"
"HSA-MIR-657","CDKN1A"
"HSA-MIR-663A","JUND"
"HSA-MIR-663A","CDKN1A"
"HSA-MIR-663A","CDK1"
"HSA-MIR-675-5P","CDC6"
"HSA-MIR-7-5P","PAK1"
"HSA-MIR-7-5P","KEAP1"
"HSA-MIR-7-5P","HELLS"
"HSA-MIR-7-5P","SERPINB5"
"HSA-MIR-7-5P","XRCC2"
"HSA-MIR-708-5P","TMEM88"
"HSA-MIR-720","TWIST1"
"HSA-MIR-767-5P","COL10A1"
"HSA-MIR-874-3P","HDAC1"
"HSA-MIR-886-3P","CDC6"
"HSA-MIR-886-3P","PLK1"
"HSA-MIR-9-3P","DLG1"
"HSA-MIR-9-5P","CD34"
"HSA-MIR-9-5P","IGF2BP1"
"HSA-MIR-9-5P","IGF2BP3"
"HSA-MIR-9-5P","MYOCD"
"HSA-MIR-921","ANGPTL1"
"HSA-MIR-93-5P","CDKN1A"
"HSA-MIR-939-5P","SLC34A2"
"HSA-MIR-942-5P","CDKN1A"
"HSA-MIR-944","HECW2"
"HSA-MIR-95-3P","CDKN1A"
"HSA-MIR-96-5P","SLC1A1"
"HSA-MIR-96-5P","CDKN1A"
"HSA-MIR-96-5P","RAD51"
"HSA-MIR-98-3P","TWIST1"
"HSA-MIR-98-5P","PAK1"
"HSA-MIR-98-5P","CCL2"
"HSA-MIR-99A-5P","HOXA1"
"HSA-LET-7A-5P","UHRF1"
"HSA-LET-7B-5P","CDC25A"
"HSA-LET-7C-5P","CDC25A"
"HSA-LET-7F-5P","SOCS3"
"HSA-LET-7G-5P","CDKN2A"
"HSA-MIR-1-3P","PRKCE"
"HSA-MIR-1-3P","PGM2"
"HSA-MIR-100-5P","HOXA1"
"HSA-MIR-101-3P","DUSP1"
"HSA-MIR-101-3P","FOS"
"HSA-MIR-101-3P","CDH5"
"HSA-MIR-101-3P","SUZ12"
"HSA-MIR-101-5P","FOS"
"HSA-MIR-103A-3P","GPD1"
"HSA-MIR-103A-3P","RAD51"
"HSA-MIR-103A-3P","RUNX2"
"HSA-MIR-107","CHRM1"
"HSA-MIR-107","PRKCE"
"HSA-MIR-107","RAD51"
"HSA-MIR-10A-5P","HOXA1"
"HSA-MIR-10B-5P","HOXD10"
"HSA-MIR-10B-5P","NR4A3"
"HSA-MIR-10B-5P","CDKN2A"
"HSA-MIR-1181","SOX2"
"HSA-MIR-122-5P","EGLN3"
"HSA-MIR-122-5P","SLC7A11"
"HSA-MIR-122-5P","ATP1A2"
"HSA-MIR-122-5P","PDK4"
"HSA-MIR-1236-3P","FLT4"
"HSA-MIR-1236-3P","KDR"
"HSA-MIR-124-3P","UHRF1"
"HSA-MIR-124-3P","SGPL1"
"HSA-MIR-124-3P","GRIA1"
"HSA-MIR-124-3P","RAB38"
"HSA-MIR-124-5P","NR4A1"
"HSA-MIR-125A-3P","BRCA1"
"HSA-MIR-125A-5P","CD34"
"HSA-MIR-125B-1-3P","SGPL1"
"HSA-MIR-125B-5P","NES"
"HSA-MIR-125B-5P","CDH5"
"HSA-MIR-125B-5P","SGPL1"
"HSA-MIR-125B-5P","SMO"
"HSA-MIR-125B-5P","CDKN2A"
"HSA-MIR-126-3P","PGR"
"HSA-MIR-126-3P","SOX2"
"HSA-MIR-126-3P","TEK"
"HSA-MIR-128-3P","SOX2"
"HSA-MIR-128-3P","SUZ12"
"HSA-MIR-129-5P","NR4A2"
"HSA-MIR-129-5P","IGF2BP3"
"HSA-MIR-1291","SLC2A1"
"HSA-MIR-1291","ABCC1"
"HSA-MIR-1296-5P","MCM2"
"HSA-MIR-1303","CLDN18"
"HSA-MIR-130B-3P","LDLR"
"HSA-MIR-132-3P","SLC2A1"
"HSA-MIR-132-3P","CCNB1"
"HSA-MIR-133A-3P","SGMS2"
"HSA-MIR-133A-3P","FOXL2"
"HSA-MIR-133A-3P","SNX30"
"HSA-MIR-133B","FOXL2"
"HSA-MIR-133B","ERG"
"HSA-MIR-134-5P","ABCC1"
"HSA-MIR-135A-5P","SLC6A4"
"HSA-MIR-135A-5P","TXNIP"
"HSA-MIR-135A-5P","RUNX2"
"HSA-MIR-137","BMP7"
"HSA-MIR-137","MSI1"
"HSA-MIR-138-5P","SUZ12"
"HSA-MIR-138-5P","BLCAP"
"HSA-MIR-139-5P","NR5A2"
"HSA-MIR-139-5P","FOS"
"HSA-MIR-140-3P","GPC1"
"HSA-MIR-140-5P","SOX2"
"HSA-MIR-141-3P","SHC1"
"HSA-MIR-141-3P","CDC25C"
"HSA-MIR-141-3P","CDC25A"
"HSA-MIR-145-5P","EPAS1"
"HSA-MIR-145-5P","NUDT1"
"HSA-MIR-145-5P","SOX2"
"HSA-MIR-145-5P","ERG"
"HSA-MIR-145-5P","HLTF"
"HSA-MIR-145-5P","MCM2"
"HSA-MIR-145-5P","ABCC1"
"HSA-MIR-146A-3P","PTTG1"
"HSA-MIR-146A-5P","BRCA1"
"HSA-MIR-146A-5P","DUSP1"
"HSA-MIR-146A-5P","HOXD10"
"HSA-MIR-146A-5P","UHRF1"
"HSA-MIR-146A-5P","PRKCE"
"HSA-MIR-146A-5P","SOX2"
"HSA-MIR-146B-5P","UHRF1"
"HSA-MIR-148B-3P","SLC2A1"
"HSA-MIR-149-3P","GPC1"
"HSA-MIR-149-3P","MYBL2"
"HSA-MIR-149-5P","GPC1"
"HSA-MIR-150-5P","BIRC5"
"HSA-MIR-150-5P","SLC2A1"
"HSA-MIR-151A-5P","SOX17"
"HSA-MIR-155-5P","MSH6"
"HSA-MIR-155-5P","SLC35F2"
"HSA-MIR-155-5P","FOS"
"HSA-MIR-155-5P","RAD51"
"HSA-MIR-155-5P","JARID2"
"HSA-MIR-155-5P","RUNX2"
"HSA-MIR-15A-5P","BRCA1"
"HSA-MIR-15A-5P","CDC25A"
"HSA-MIR-15B-5P","KDR"
"HSA-MIR-15B-5P","PEBP4"
"HSA-MIR-15B-5P","TRIM29"
"HSA-MIR-15B-5P","SOCS3"
"HSA-MIR-16-5P","KDR"
"HSA-MIR-16-5P","BIRC5"
"HSA-MIR-16-5P","BRCA1"
"HSA-MIR-16-5P","TPPP3"
"HSA-MIR-16-5P","SLC6A4"
"HSA-MIR-16-5P","SOCS3"
"HSA-MIR-16-5P","UNG"
"HSA-MIR-17-3P","GALNT7"
"HSA-MIR-17-3P","KDR"
"HSA-MIR-17-3P","GPX2"
"HSA-MIR-17-5P","EPAS1"
"HSA-MIR-17-5P","LDLR"
"HSA-MIR-181A-5P","PGR"
"HSA-MIR-181A-5P","FOS"
"HSA-MIR-181B-5P","VSNL1"
"HSA-MIR-181B-5P","FOS"
"HSA-MIR-181B-5P","SIX2"
"HSA-MIR-182-5P","PDK4"
"HSA-MIR-182-5P","CHEK2"
"HSA-MIR-185-5P","MCM10"
"HSA-MIR-185-5P","EPAS1"
"HSA-MIR-185-5P","TRIM29"
"HSA-MIR-186-5P","PTTG1"
"HSA-MIR-192-5P","MCM10"
"HSA-MIR-192-5P","MAD2L1"
"HSA-MIR-193B-3P","SHMT2"
"HSA-MIR-193B-3P","RAD51"
"HSA-MIR-195-5P","KDR"
"HSA-MIR-195-5P","BIRC5"
"HSA-MIR-195-5P","CDC25A"
"HSA-MIR-195-5P","RUNX2"
"HSA-MIR-196A-5P","HOXC8"
"HSA-MIR-196A-5P","HOXB7"
"HSA-MIR-196A-5P","MAMDC2"
"HSA-MIR-196A-5P","KRT5"
"HSA-MIR-196B-5P","HOXC8"
"HSA-MIR-196B-5P","HOXB7"
"HSA-MIR-196B-5P","FOS"
"HSA-MIR-199A-3P","KDR"
"HSA-MIR-199A-5P","RND1"
"HSA-MIR-199A-5P","LDLR"
"HSA-MIR-199A-5P","UNG"
"HSA-MIR-199A-5P","DRAM1"
"HSA-MIR-19A-3P","RHOB"
"HSA-MIR-19A-3P","NR4A2"
"HSA-MIR-19A-3P","SOCS3"
"HSA-MIR-19A-3P","SUZ12"
"HSA-MIR-19B-1-5P","KDR"
"HSA-MIR-200A-3P","SHC1"
"HSA-MIR-200A-3P","MNX1"
"HSA-MIR-200A-3P","DLC1"
"HSA-MIR-200A-5P","SOX17"
"HSA-MIR-200B-3P","KDR"
"HSA-MIR-200B-3P","SHC1"
"HSA-MIR-200B-3P","DLC1"
"HSA-MIR-200B-3P","SUZ12"
"HSA-MIR-200C-3P","KDR"
"HSA-MIR-200C-3P","SHC1"
"HSA-MIR-200C-3P","DUSP1"
"HSA-MIR-200C-3P","LEPR"
"HSA-MIR-200C-3P","DLC1"
"HSA-MIR-200C-3P","SUZ12"
"HSA-MIR-203A-3P","BIRC5"
"HSA-MIR-203A-3P","SOCS3"
"HSA-MIR-203A-3P","RUNX2"
"HSA-MIR-204-5P","TXNIP"
"HSA-MIR-204-5P","RUNX2"
"HSA-MIR-205-5P","ACSL4"
"HSA-MIR-205-5P","RUNX2"
"HSA-MIR-206","ACTL6A"
"HSA-MIR-206","NR4A2"
"HSA-MIR-20A-3P","NR4A3"
"HSA-MIR-20A-3P","SMO"
"HSA-MIR-20A-5P","EGLN3"
"HSA-MIR-20A-5P","EPAS1"
"HSA-MIR-20B-5P","BRCA1"
"HSA-MIR-21-3P","HPGD"
"HSA-MIR-21-5P","TCF21"
"HSA-MIR-21-5P","RHOB"
"HSA-MIR-21-5P","HPGD"
"HSA-MIR-21-5P","MSH6"
"HSA-MIR-21-5P","CDC25A"
"HSA-MIR-21-5P","SOX2"
"HSA-MIR-210-3P","KCMF1"
"HSA-MIR-210-3P","HOXA1"
"HSA-MIR-211-5P","TXNIP"
"HSA-MIR-211-5P","CDH5"
"HSA-MIR-212-3P","CCNB1"
"HSA-MIR-214-3P","GALNT7"
"HSA-MIR-214-3P","BIRC5"
"HSA-MIR-217","NR4A2"
"HSA-MIR-218-5P","BIRC5"
"HSA-MIR-218-5P","SMO"
"HSA-MIR-218-5P","RUNX2"
"HSA-MIR-22-3P","BMP6"
"HSA-MIR-22-3P","SLC2A1"
"HSA-MIR-22-3P","BMP7"
