"miRNA","gene","corr"
"hsa-miR-32-5p","CBX7",-0.6024817719962211
"hsa-miR-32-5p","RNF112",-0.6266948504845752
"hsa-miR-32-5p","SLC25A12",-0.6101882430114269
"hsa-miR-32-5p","ZFP2",-0.6333693177248676
"hsa-miR-32-5p","SLC9A9",-0.6318951316786878
"hsa-miR-32-5p","DCN",-0.6080334413624139
"hsa-miR-32-5p","NEK1",-0.623445016669248
"hsa-miR-32-5p","TCEAL7",-0.6071497056655678
"hsa-miR-32-5p","LOC399959",-0.6112576989401839
"hsa-miR-32-5p","PRIMA1",-0.6214780158830937
"hsa-miR-425-3p","Empty 0",
"hsa-miR-222-3p","Empty 0",
"hsa-miR-361-5p","Empty 0",
"hsa-miR-193b-5p","Empty 0",
"hsa-miR-221-3p","Empty 0",
"hsa-miR-146b-3p","FAM54B",-0.6019779331515478
"hsa-miR-769-5p","Empty 0",
"hsa-miR-342-3p","Empty 0",
"hsa-miR-340-5p","Empty 0",
"hsa-miR-361-3p","FAM168B",-0.6011607596106803
"hsa-miR-361-3p","TECPR2",-0.613131092927973
"hsa-miR-361-3p","SLC25A4",-0.6009732001913354
"hsa-miR-361-3p","LOH12CR2",-0.6051703388634037
"hsa-miR-361-3p","NBEA",-0.6225779602424738
"hsa-miR-361-3p","ARHGAP24",-0.6057932620096683
"hsa-miR-361-3p","ITSN1",-0.6310944150551795
"hsa-miR-361-3p","SETBP1",-0.6301558061430321
"hsa-miR-361-3p","SETD3",-0.6130370342144484
"hsa-miR-361-3p","EVC",-0.6143119508277506
"hsa-miR-361-3p","CBX6",-0.6191475136270289
"hsa-miR-361-3p","LONRF2",-0.6117582376006814
"hsa-miR-361-3p","CSDE1",-0.6038989463345253
"hsa-miR-361-3p","VLDLR",-0.6394369134472973
"hsa-miR-361-3p","RBM24",-0.6029416233529049
"hsa-miR-361-3p","BMPR1A",-0.6154528486674472
"hsa-miR-361-3p","JMY",-0.6289812188162149
"hsa-miR-361-3p","DSTN",-0.6003927468631995
"hsa-miR-361-3p","FAM54B",-0.6373722880915775
"hsa-miR-361-3p","TSPAN2",-0.6118330065098391
"hsa-miR-361-3p","PNMA1",-0.6124208637084815
"hsa-miR-361-3p","C16orf45",-0.6166188269870606
"hsa-miR-361-3p","MAGI2",-0.615709970803675
"hsa-miR-361-3p","RNF180",-0.6193496791539832
"hsa-miR-361-3p","ZYG11B",-0.6629284157783644
"hsa-miR-361-3p","FOXP2",-0.6149359587349021
"hsa-miR-361-3p","CLIP3",-0.6216324758256768
"hsa-miR-361-3p","ZEB1",-0.6002755712930876
"hsa-miR-361-3p","RUNX1T1",-0.620418218196353
"hsa-miR-361-3p","DISP1",-0.6083343798063134
"hsa-miR-361-3p","ANO5",-0.6169444150358555
"hsa-miR-361-3p","RBM9",-0.628070037186669
"hsa-miR-361-3p","EPHA7",-0.6086040012754736
"hsa-miR-361-3p","MPDZ",-0.6113941625586684
"hsa-miR-361-3p","ARHGAP20",-0.6114418199522289
"hsa-miR-99b-5p","Empty 0",
"hsa-miR-192-5p","Empty 0",
"hsa-miR-205-5p","Empty 0",
"hsa-miR-15b-3p","RNASE4",-0.6406982517207397
"hsa-miR-15b-3p","ZFP2",-0.6335618621593174
"hsa-miR-589-5p","PPP2R5A",-0.6280603364395262
"hsa-miR-141-3p","Empty 0",
"hsa-miR-191-5p","Empty 0",
"hsa-miR-324-3p","Empty 0",
"hsa-miR-182-5p","Empty 0",
"hsa-miR-505-3p","Empty 0",
"hsa-miR-148a-3p","Empty 0",
"hsa-let-7c","Empty 0",
"hsa-miR-92b-3p","Empty 0",
"hsa-miR-99a-5p","Empty 0",
"hsa-miR-30e-5p","Empty 0",
"hsa-miR-193a-5p","Empty 0",
"hsa-miR-181a-5p","ASH1L",-0.6118011622800565
"hsa-miR-181a-5p","GHR",-0.616809668530006
"hsa-miR-181a-5p","PPARGC1B",-0.6012282819013396
"hsa-miR-181a-5p","ANO6",-0.6000498163830308
"hsa-miR-181a-5p","NFIX",-0.6010192912284149
"hsa-miR-181a-5p","ARHGAP24",-0.6101773886144318
"hsa-miR-181a-5p","TACC2",-0.6016016613168613
"hsa-miR-181a-5p","CRTC3",-0.6095632135000758
"hsa-miR-181a-5p","SESTD1",-0.6245400449154809
"hsa-miR-181a-5p","RAB11FIP2",-0.603565505319919
"hsa-miR-181a-5p","LARGE",-0.6197551773220685
"hsa-miR-181a-5p","CSDE1",-0.6147131847060384
"hsa-miR-181a-5p","FOXN3",-0.6071743911354964
"hsa-miR-181a-5p","JMY",-0.6552684126701138
"hsa-miR-181a-5p","CAPZA2",-0.6082631446009165
"hsa-miR-181a-5p","MEIS1",-0.6558210810496626
"hsa-miR-181a-5p","C16orf45",-0.6060960881595483
"hsa-miR-181a-5p","PBX1",-0.612610315902838
"hsa-miR-181a-5p","MAGI2",-0.6027615371445535
"hsa-miR-181a-5p","KIAA0240",-0.6154156739026168
"hsa-miR-181a-5p","ZYG11B",-0.638498152429633
"hsa-miR-181a-5p","KIAA0430",-0.6507162170654667
"hsa-miR-181a-5p","PRDM5",-0.604185316816815
"hsa-miR-181a-5p","HERC1",-0.6397588938575056
"hsa-miR-181a-5p","SLC25A12",-0.6051736841924688
"hsa-miR-181a-5p","RBM9",-0.6316205795570958
"hsa-miR-181a-5p","STAT5B",-0.6005263692848303
"hsa-miR-181a-5p","NEK1",-0.6127965633427803
"hsa-miR-181a-5p","PRIMA1",-0.6280279796868575
"hsa-miR-425-5p","Empty 0",
"hsa-miR-106b-5p","SLC9A9",-0.6014678695043133
"hsa-miR-424-5p","Empty 0",
"hsa-miR-660-5p","SLC25A12",-0.623339351980461
"hsa-miR-106a-5p","Empty 0",
"hsa-miR-181a-2-3p","Empty 0",
"hsa-miR-127-5p","Empty 0",
"hsa-miR-142-5p","Empty 0",
"hsa-miR-339-5p","Empty 0",
"hsa-miR-10b-5p","Empty 0",
"hsa-let-7a-5p","Empty 0",
"hsa-miR-19b-3p","Empty 0",
"hsa-miR-484","SOX10",-0.6172804241827359
"hsa-miR-484","TACC2",-0.6084350893197764
"hsa-miR-484","PDK2",-0.6315100956487235
"hsa-miR-484","RNASE4",-0.6549396675824054
"hsa-miR-484","CHIC1",-0.6019920535638614
"hsa-miR-484","TENC1",-0.6004283552338952
"hsa-miR-484","RAI2",-0.6042135281743006
"hsa-miR-484","DTWD1",-0.6097843910954347
"hsa-miR-484","SLC25A12",-0.6371121396851496
"hsa-miR-484","SLC9A9",-0.6072750465256347
"hsa-miR-484","NEK1",-0.6244152639815037
"hsa-miR-484","ZBTB4",-0.6136129446654178
"hsa-miR-21-3p","Empty 0",
"hsa-miR-27a-3p","TGFBR3",-0.6017058155134528
"hsa-miR-27a-3p","FAM54B",-0.6002520500774349
"hsa-miR-652-3p","Empty 0",
"hsa-miR-22-3p","FOXN3",-0.6135729139909705
"hsa-miR-22-3p","CHIC1",-0.6175022869774616
"hsa-miR-22-3p","PRDM8",-0.6020302224160918
"hsa-miR-22-3p","HERC1",-0.6429568262027434
"hsa-miR-22-3p","SLC25A12",-0.6042888817612995
"hsa-miR-22-3p","PRIMA1",-0.6132092022886031
"hsa-miR-17-3p","SLC9A9",-0.606977245624809
"hsa-miR-140-3p","Empty 0",
"hsa-miR-185-3p","Empty 0",
"hsa-miR-335-5p","Empty 0",
"hsa-miR-625-3p","Empty 0",
"hsa-miR-29a-3p","Empty 0",
"hsa-miR-126-3p","Empty 0",
"hsa-miR-502-3p","SOX10",-0.6104397924666277
"hsa-miR-502-3p","C10orf72",-0.6114985782756049
"hsa-miR-502-3p","RNASE4",-0.6246720451021458
"hsa-miR-502-3p","TENC1",-0.6004411143797984
"hsa-miR-502-3p","RAI2",-0.6177971825946473
"hsa-miR-502-3p","SLC25A12",-0.6005742462115822
"hsa-miR-502-3p","SLC9A9",-0.6061056483959745
"hsa-miR-502-3p","LOC399959",-0.6192126079117739
"hsa-miR-339-3p","Empty 0",
"hsa-miR-128","Empty 0",
"hsa-miR-3677-3p","Empty 0",
