"Cluster","Gene"
"HSA-MIR-328-3P","ABCG2"
"HSA-MIR-335-5P","ID4"
"HSA-MIR-335-5P","DAAM2"
"HSA-MIR-335-5P","TFF2"
"HSA-MIR-335-5P","ZEB2"
"HSA-MIR-337-5P","HOXB7"
"HSA-MIR-338-3P","PREX2"
"HSA-MIR-338-3P","ZEB2"
"HSA-MIR-338-5P","EFEMP1"
"HSA-MIR-33A-5P","ROS1"
"HSA-MIR-33A-5P","PRKCB"
"HSA-MIR-340-5P","CCND2"
"HSA-MIR-342-3P","ID4"
"HSA-MIR-34A-5P","NOTCH1"
"HSA-MIR-34A-5P","HDAC1"
"HSA-MIR-34B-3P","NOTCH1"
"HSA-MIR-34C-5P","NOTCH1"
"HSA-MIR-362-3P","CD82"
"HSA-MIR-363-3P","NOTCH1"
"HSA-MIR-373-3P","RECK"
"HSA-MIR-374A-5P","WIF1"
"HSA-MIR-374B-5P","RECK"
"HSA-MIR-375","PLAG1"
"HSA-MIR-376A-3P","PIK3R1"
"HSA-MIR-378A-3P","PGR"
"HSA-MIR-381-3P","ANO1"
"HSA-MIR-381-3P","ID1"
"HSA-MIR-409-3P","RECK"
"HSA-MIR-410-3P","NOTCH1"
"HSA-MIR-424-5P","TGFBR3"
"HSA-MIR-424-5P","PLAG1"
"HSA-MIR-424-5P","CHEK1"
"HSA-MIR-429","HOXB5"
"HSA-MIR-429","ZEB2"
"HSA-MIR-432-5P","NES"
"HSA-MIR-4437","SNCG"
"HSA-MIR-4496","ABCG2"
"HSA-MIR-449A","NOTCH1"
"HSA-MIR-449A","CAPN6"
"HSA-MIR-449A","HDAC1"
"HSA-MIR-449B-5P","HDAC1"
"HSA-MIR-4674","SNCG"
"HSA-MIR-4722-5P","SNCG"
"HSA-MIR-4782-3P","ZEB2"
"HSA-MIR-485-3P","NFYB"
"HSA-MIR-485-5P","HIF3A"
"HSA-MIR-486-5P","OLFM4"
"HSA-MIR-486-5P","PIK3R1"
"HSA-MIR-487A-3P","ABCG2"
"HSA-MIR-487A-3P","PIK3R1"
"HSA-MIR-491-5P","WNT3A"
"HSA-MIR-494-3P","SLC26A3"
"HSA-MIR-497-5P","AMOT"
"HSA-MIR-497-5P","CHEK1"
"HSA-MIR-497-5P","WNT7A"
"HSA-MIR-497-5P","RECK"
"HSA-MIR-503-5P","CHEK1"
"HSA-MIR-503-5P","PIK3R1"
"HSA-MIR-513A-3P","GSTP1"
"HSA-MIR-519A-3P","FOXF2"
"HSA-MIR-519C-3P","ABCG2"
"HSA-MIR-520A-3P","HOXD8"
"HSA-MIR-520H","HDAC1"
"HSA-MIR-520H","ABCG2"
"HSA-MIR-520H","SMAD6"
"HSA-MIR-542-3P","PIK3R1"
"HSA-MIR-558","PTGS2"
"HSA-MIR-572","CISH"
"HSA-MIR-5787","ELF5"
"HSA-MIR-589-5P","PTGS2"
"HSA-MIR-590-3P","ZEB2"
"HSA-MIR-590-5P","RECK"
"HSA-MIR-603","CCND2"
"HSA-MIR-631","SULT1A1"
"HSA-MIR-641","SNAP25"
"HSA-MIR-647","ANK2"
"HSA-MIR-650","NDRG2"
"HSA-MIR-664A-3P","SOX7"
"HSA-MIR-7-5P","HOXB5"
"HSA-MIR-7-5P","HOXB3"
"HSA-MIR-708-5P","CNTFR"
"HSA-MIR-708-5P","ZEB2"
"HSA-MIR-718","HOXB8"
"HSA-MIR-874-3P","HDAC1"
"HSA-MIR-9-3P","DMD"
"HSA-MIR-9-5P","NOTCH1"
"HSA-MIR-9-5P","SOX7"
"HSA-MIR-9-5P","DRD2"
"HSA-MIR-9-5P","MYOCD"
"HSA-MIR-921","ANGPTL1"
"HSA-MIR-92B-3P","RECK"
"HSA-MIR-935","NOTCH1"
"HSA-MIR-935","SOX7"
"HSA-MIR-939-5P","SLC34A2"
"HSA-MIR-96-5P","HTR1B"
"HSA-MIR-96-5P","RECK"
"HSA-MIR-98-5P","CCND2"
"HSA-LET-7A-3P","CCND2"
"HSA-LET-7A-5P","CCND2"
"HSA-LET-7A-5P","TGFBR3"
"HSA-LET-7A-5P","ITGB3"
"HSA-LET-7B-5P","CCND2"
"HSA-LET-7B-5P","CPEB1"
"HSA-LET-7C-5P","ITGB3"
"HSA-LET-7F-5P","CYP19A1"
"HSA-MIR-1-3P","FABP3"
"HSA-MIR-1-3P","SRF"
"HSA-MIR-1-3P","SLC8A1"
"HSA-MIR-1-3P","MYOCD"
"HSA-MIR-101-3P","EYA1"
"HSA-MIR-101-3P","CPEB1"
"HSA-MIR-101-3P","SRF"
"HSA-MIR-101-3P","PTGS2"
"HSA-MIR-101-3P","ZEB2"
"HSA-MIR-103A-3P","SNCG"
"HSA-MIR-103A-3P","CAV1"
"HSA-MIR-103A-3P","GPD1"
"HSA-MIR-103A-3P","DAPK1"
"HSA-MIR-106A-5P","CYP19A1"
"HSA-MIR-106B-5P","CCND2"
"HSA-MIR-106B-5P","TCEAL1"
"HSA-MIR-106B-5P","SLC2A4"
"HSA-MIR-107","SNCG"
"HSA-MIR-107","CPEB1"
"HSA-MIR-107","CAV1"
"HSA-MIR-107","PLAG1"
"HSA-MIR-107","DAPK1"
"HSA-MIR-10B-5P","TPM1"
"HSA-MIR-1180-3P","TCEAL1"
"HSA-MIR-1180-5P","TCEAL1"
"HSA-MIR-122-5P","EGLN3"
"HSA-MIR-122-5P","ANK2"
"HSA-MIR-122-5P","ATP1A2"
"HSA-MIR-122-5P","DUSP2"
"HSA-MIR-122-5P","SRF"
"HSA-MIR-1236-3P","TCEAL1"
"HSA-MIR-124-3P","CCND2"
"HSA-MIR-124-3P","CAV1"
"HSA-MIR-124-3P","ITGB3"
"HSA-MIR-124-5P","FOXQ1"
"HSA-MIR-126-3P","PGR"
"HSA-MIR-1271-5P","FOXQ1"
"HSA-MIR-128-3P","ABCG1"
"HSA-MIR-129-5P","ABCG1"
"HSA-MIR-132-3P","SOX5"
"HSA-MIR-133A-3P","PRDM16"
"HSA-MIR-133A-3P","KCNQ1"
"HSA-MIR-133A-3P","GSTP1"
"HSA-MIR-133B","PRDM16"
"HSA-MIR-133B","ERG"
"HSA-MIR-133B","GSTP1"
"HSA-MIR-133B","FGFR1"
"HSA-MIR-137","SLC6A3"
"HSA-MIR-137","PTGS2"
"HSA-MIR-138-1-3P","ZEB2"
"HSA-MIR-138-5P","FERMT2"
"HSA-MIR-138-5P","ZEB2"
"HSA-MIR-139-5P","ACTC1"
"HSA-MIR-140-5P","FGFRL1"
"HSA-MIR-141-3P","ZEB2"
"HSA-MIR-142-3P","PRKCA"
"HSA-MIR-142-3P","ABCG2"
"HSA-MIR-142-5P","CLDN1"
"HSA-MIR-143-3P","PTGS2"
"HSA-MIR-144-3P","PLAG1"
"HSA-MIR-144-3P","PTGS2"
"HSA-MIR-144-3P","ZEB2"
"HSA-MIR-145-5P","ERG"
"HSA-MIR-145-5P","MYOCD"
"HSA-MIR-145-5P","ILK"
"HSA-MIR-146A-5P","NOS1"
"HSA-MIR-146A-5P","CCND2"
"HSA-MIR-146A-5P","PTGS2"
"HSA-MIR-146B-5P","PAX8"
"HSA-MIR-147A","HIF3A"
"HSA-MIR-148A-3P","ITGA5"
"HSA-MIR-148B-3P","ITGA5"
"HSA-MIR-149-3P","FGFR1"
"HSA-MIR-149-5P","PTGER2"
"HSA-MIR-149-5P","FGFR1"
"HSA-MIR-150-5P","CISH"
"HSA-MIR-150-5P","PRKCA"
"HSA-MIR-152-3P","ITGA5"
"HSA-MIR-153-3P","ZEB2"
"HSA-MIR-153-5P","ZEB2"
"HSA-MIR-154-5P","CCND2"
"HSA-MIR-154-5P","ZEB2"
"HSA-MIR-155-5P","SSX2IP"
"HSA-MIR-155-5P","CCND2"
"HSA-MIR-155-5P","GATM"
"HSA-MIR-155-5P","RAB11FIP2"
"HSA-MIR-155-5P","CLDN1"
"HSA-MIR-155-5P","MYLK"
"HSA-MIR-15A-5P","CCND2"
"HSA-MIR-15A-5P","SOX5"
"HSA-MIR-15A-5P","CHEK1"
"HSA-MIR-15B-5P","HNF1A"
"HSA-MIR-15B-5P","CHEK1"
"HSA-MIR-16-1-3P","CCND2"
"HSA-MIR-16-5P","CCND2"
"HSA-MIR-16-5P","CLDN2"
"HSA-MIR-16-5P","SOX5"
"HSA-MIR-16-5P","FGFR1"
"HSA-MIR-16-5P","CHEK1"
"HSA-MIR-16-5P","PTGS2"
"HSA-MIR-17-3P","ITGB3"
"HSA-MIR-17-3P","ITGA5"
"HSA-MIR-17-5P","CCND2"
"HSA-MIR-17-5P","TCEAL1"
"HSA-MIR-17-5P","CLU"
"HSA-MIR-17-5P","PDLIM7"
"HSA-MIR-181A-5P","PGR"
"HSA-MIR-181A-5P","PLAG1"
"HSA-MIR-181A-5P","WIF1"
"HSA-MIR-181A-5P","ABCG2"
"HSA-MIR-181B-5P","PLAG1"
"HSA-MIR-181B-5P","VSNL1"
"HSA-MIR-181B-5P","SIX2"
"HSA-MIR-182-5P","CCND2"
"HSA-MIR-182-5P","TSC22D3"
"HSA-MIR-182-5P","FOXF2"
"HSA-MIR-182-5P","LRRC4"
"HSA-MIR-184","PRKCB"
"HSA-MIR-185-5P","ABCG4"
"HSA-MIR-185-5P","ARC"
